25923-Python高级工程师（上海）,"负责腾讯蓝鲸PaaS后台设计与开发；
负责腾讯游戏运维支撑相关重点SaaS后台设计与开发；
负责腾讯蓝鲸容器管理平台产品后台设计与开发。",2020年01月10日
TEG13-python高级开发工程师,"工作职责：
    主导部门运营系统的需求分析、系统设计、开发等工作;
",2019年12月16日
25923-Python后台研发工程师（深圳）,"负责腾讯运营安全微服务架构平台开发；
负责腾讯运营安全海外平台开发；
负责腾讯运营安全策略引擎开发。",2019年11月29日
18435-个人账户风险分析师,"对个人支付账户进行深入调查、分析、定性，摸清交易背景及运作模式，掌握异常特征及风险水平，对风险账户进行相应处置；
对风险账户或异常账户进行扩散分析，了解特定群体账户大盘情况及风险规模，总结群体特征或运作模式，输出专项分析报告并提出处置方案，降低业务风险；
与其他安全团队保持沟通合作，不断丰富调查所需情报，提升调查分析的质量和效率；推动风险账户的线下打击与可疑账户处置方案的落地。",2020年02月05日
26699-智慧零售大数据开发工程师,负责智慧零售大数据开发、数据挖掘、算法平台的技术架构及建设； 负责智慧零售业务挖掘、算法应用的平台支持；,2020年02月05日
WXG03-小程序推荐算法工程师,"负责微信小程序内容推荐相关算法研发，通过算法优化提升整体推荐的点击率；
用户画像和内容画像的建设和优化；
针对特定场景，制定有效的召回算法；
从样本、特征、模型等维度不断优化排序算法；
紧跟工业界、学术界的前沿技术，结合实际的业务场景和工程团队协作，进行算法开发、落地，实现团队技术和业务的共同发展。",2020年02月05日
WXG03-小程序搜索算法工程师,"负责微信小程序内容搜索下各个垂类的建设和优化，包括但不限于：
1. 页面内容理解，包括信息抽取、分类、主题分析、词权重计算、关键词提取等；
2. 基础相关性和语义分析等自然语言处理相关工作；
3. 排序算法的研发和优化，包括LTR、点击模型等。",2020年02月05日
TEG13-python爬虫开发工程师,"负责通用自助爬取平台、分布式实时爬虫服务的架构设计与开发
优化系统反爬、多渠道抓取和分析、内容提取等能力，从而提升抓取的效率和质量",2020年01月29日
TEG02-python开发工程师,"负责网络运营DevOps平台的规划设计及开发维护，参与开发文档撰写、代码编写、调试维护等工作，并协助其他开发人员解决技术问题；
深入理解业务需求，并与运营人员共同对业务模型进行汇总提炼，参与系统建模工作；
在保障系统的稳定性，可维护性的基础上，快速响应业务需求；",2020年01月20日
25923-Python高级工程师（深圳）,"负责腾讯蓝鲸PaaS后台设计与开发；
负责腾讯游戏运维支撑相关重点SaaS后台设计与开发；
负责腾讯蓝鲸容器管理平台产品后台设计与开发。",2020年01月10日
25923-Python高级工程师（上海）,"负责腾讯蓝鲸PaaS后台设计与开发；
负责腾讯游戏运维支撑相关重点SaaS后台设计与开发；
负责腾讯蓝鲸容器管理平台产品后台设计与开发。",2020年01月10日
TEG13-python高级开发工程师,"工作职责：
    主导部门运营系统的需求分析、系统设计、开发等工作;
",2019年12月16日
25923-Python后台研发工程师（深圳）,"负责腾讯运营安全微服务架构平台开发；
负责腾讯运营安全海外平台开发；
负责腾讯运营安全策略引擎开发。",2019年11月29日
18435-个人账户风险分析师,"对个人支付账户进行深入调查、分析、定性，摸清交易背景及运作模式，掌握异常特征及风险水平，对风险账户进行相应处置；
对风险账户或异常账户进行扩散分析，了解特定群体账户大盘情况及风险规模，总结群体特征或运作模式，输出专项分析报告并提出处置方案，降低业务风险；
与其他安全团队保持沟通合作，不断丰富调查所需情报，提升调查分析的质量和效率；推动风险账户的线下打击与可疑账户处置方案的落地。",2020年02月05日
26699-智慧零售大数据开发工程师,负责智慧零售大数据开发、数据挖掘、算法平台的技术架构及建设； 负责智慧零售业务挖掘、算法应用的平台支持；,2020年02月05日
WXG03-小程序推荐算法工程师,"负责微信小程序内容推荐相关算法研发，通过算法优化提升整体推荐的点击率；
用户画像和内容画像的建设和优化；
针对特定场景，制定有效的召回算法；
从样本、特征、模型等维度不断优化排序算法；
紧跟工业界、学术界的前沿技术，结合实际的业务场景和工程团队协作，进行算法开发、落地，实现团队技术和业务的共同发展。",2020年02月05日
WXG03-小程序搜索算法工程师,"负责微信小程序内容搜索下各个垂类的建设和优化，包括但不限于：
1. 页面内容理解，包括信息抽取、分类、主题分析、词权重计算、关键词提取等；
2. 基础相关性和语义分析等自然语言处理相关工作；
3. 排序算法的研发和优化，包括LTR、点击模型等。",2020年02月05日
